epoch,class_id,f1,auc,accuracy,precision,recall
13,1,0.3636363636363636,0.6,0.72,0.3333333333333333,0.4
17,0,0.8157894736842106,0.6375,0.72,0.8611111111111112,0.775
17,1,0.41666666666666663,0.6375000000000001,0.72,0.35714285714285715,0.5
14,0,0.8205128205128205,0.6000000000000001,0.72,0.8421052631578947,0.8
14,1,0.3636363636363636,0.6,0.72,0.3333333333333333,0.4
18,0,0.8157894736842106,0.6375,0.72,0.8611111111111112,0.775
18,1,0.41666666666666663,0.6375000000000001,0.72,0.35714285714285715,0.5
15,0,0.8205128205128205,0.6000000000000001,0.72,0.8421052631578947,0.8
15,1,0.3636363636363636,0.6,0.72,0.3333333333333333,0.4
19,0,0.8157894736842106,0.6375,0.72,0.8611111111111112,0.775
19,1,0.41666666666666663,0.6375000000000001,0.72,0.35714285714285715,0.5
16,0,0.8205128205128205,0.6000000000000001,0.72,0.8421052631578947,0.8
16,1,0.3636363636363636,0.6,0.72,0.3333333333333333,0.4
20,0,0.8311688311688312,0.65,0.74,0.8648648648648649,0.8
20,1,0.4347826086956522,0.6500000000000001,0.74,0.38461538461538464,0.5
17,0,0.8354430379746836,0.6124999999999999,0.74,0.8461538461538461,0.825
17,1,0.380952380952381,0.6124999999999999,0.74,0.36363636363636365,0.4
21,0,0.8311688311688312,0.65,0.74,0.8648648648648649,0.8
21,1,0.4347826086956522,0.6500000000000001,0.74,0.38461538461538464,0.5
18,0,0.8354430379746836,0.6124999999999999,0.74,0.8461538461538461,0.825
18,1,0.380952380952381,0.6124999999999999,0.74,0.36363636363636365,0.4
22,0,0.8311688311688312,0.65,0.74,0.8648648648648649,0.8
22,1,0.4347826086956522,0.6500000000000001,0.74,0.38461538461538464,0.5
19,0,0.8354430379746836,0.6124999999999999,0.74,0.8461538461538461,0.825
19,1,0.380952380952381,0.6124999999999999,0.74,0.36363636363636365,0.4
23,0,0.8311688311688312,0.65,0.74,0.8648648648648649,0.8
23,1,0.4347826086956522,0.6500000000000001,0.74,0.38461538461538464,0.5
20,0,0.8354430379746836,0.6124999999999999,0.74,0.8461538461538461,0.825
20,1,0.380952380952381,0.6124999999999999,0.74,0.36363636363636365,0.4
24,0,0.8205128205128205,0.6000000000000001,0.72,0.8421052631578947,0.8
24,1,0.3636363636363636,0.6,0.72,0.3333333333333333,0.4
21,0,0.85,0.625,0.76,0.85,0.85
21,1,0.4000000000000001,0.625,0.76,0.4,0.4
25,0,0.8205128205128205,0.6000000000000001,0.72,0.8421052631578947,0.8
25,1,0.3636363636363636,0.6,0.72,0.3333333333333333,0.4
22,0,0.85,0.625,0.76,0.85,0.85
22,1,0.4000000000000001,0.625,0.76,0.4,0.4
26,0,0.8205128205128205,0.6000000000000001,0.72,0.8421052631578947,0.8
26,1,0.3636363636363636,0.6,0.72,0.3333333333333333,0.4
23,0,0.8433734939759036,0.5375,0.74,0.813953488372093,0.875
23,1,0.23529411764705882,0.5375,0.74,0.2857142857142857,0.2
27,0,0.8205128205128205,0.6000000000000001,0.72,0.8421052631578947,0.8
27,1,0.3636363636363636,0.6,0.72,0.3333333333333333,0.4
24,0,0.8571428571428572,0.55,0.76,0.8181818181818182,0.9
