epoch,class_0_tp,class_0_fp,class_0_tn,class_0_fn,class_1_tp,class_1_fp,class_1_tn,class_1_fn,accuracy,roc_auc,f1_score,loss
20,90.0,21.0,72.0,16.0,72.0,16.0,90.0,21.0,0.8140703517587939,0.9023128423615339,0.7955801104972376,0.4288605873440228
21,89.0,20.0,76.0,14.0,76.0,14.0,89.0,20.0,0.8291457286432161,0.8938106796116505,0.8172043010752689,0.43976666324364777
22,87.0,23.0,69.0,20.0,69.0,20.0,87.0,23.0,0.7839195979899497,0.9004469727752946,0.7624309392265194,0.42328020482880985
23,94.0,24.0,68.0,13.0,68.0,13.0,94.0,24.0,0.8140703517587939,0.895672490857375,0.7861271676300579,0.4439369368755338
24,82.0,19.0,82.0,16.0,82.0,16.0,82.0,19.0,0.8241206030150754,0.929480703172358,0.8241206030150754,0.37902912821377344
25,86.0,20.0,79.0,14.0,79.0,14.0,86.0,20.0,0.8291457286432161,0.9303030303030303,0.8229166666666666,0.38513450018462525
26,71.0,19.0,89.0,20.0,89.0,20.0,71.0,19.0,0.8040201005025126,0.8827838827838828,0.8202764976958524,0.4372973512371431
27,79.0,12.0,90.0,18.0,90.0,18.0,79.0,12.0,0.8492462311557789,0.9363250454821104,0.8571428571428571,0.3485513068548399
28,75.0,14.0,90.0,20.0,90.0,20.0,75.0,14.0,0.8291457286432161,0.9052631578947368,0.8411214953271028,0.408103293650339
29,90.0,15.0,79.0,15.0,79.0,15.0,90.0,15.0,0.8492462311557789,0.9184397163120568,0.8404255319148938,0.39109931357822675
30,80.0,18.0,89.0,12.0,89.0,12.0,80.0,18.0,0.8492462311557789,0.9363063795205201,0.8557692307692306,0.3678684291855699
31,83.0,17.0,87.0,12.0,87.0,12.0,83.0,17.0,0.8542713567839196,0.9304655870445344,0.8571428571428572,0.37675084677248744
32,91.0,17.0,78.0,13.0,78.0,13.0,91.0,17.0,0.8492462311557789,0.9218623481781376,0.8387096774193549,0.37391141932644884
33,86.0,12.0,87.0,14.0,87.0,14.0,86.0,12.0,0.8693467336683417,0.9415151515151515,0.8699999999999999,0.3494399735638544
34,82.0,15.0,87.0,15.0,87.0,15.0,82.0,15.0,0.8492462311557789,0.9320800485142511,0.8529411764705882,0.3602044062323906
35,71.0,11.0,101.0,16.0,101.0,16.0,71.0,11.0,0.864321608040201,0.9457101806239737,0.8820960698689956,0.3271480342747653
36,89.0,12.0,85.0,13.0,85.0,13.0,89.0,12.0,0.8743718592964824,0.9440064685668081,0.8717948717948717,0.34551546540598027
37,89.0,13.0,82.0,15.0,82.0,15.0,89.0,13.0,0.8592964824120602,0.9522267206477733,0.8541666666666666,0.3237195876169594
38,104.0,10.0,76.0,9.0,76.0,9.0,104.0,10.0,0.9045226130653267,0.9702613706523976,0.888888888888889,0.27237808734328306
39,79.0,6.0,102.0,12.0,102.0,12.0,79.0,6.0,0.9095477386934674,0.967032967032967,0.918918918918919,0.28509806836463847
40,85.0,13.0,86.0,15.0,86.0,15.0,85.0,13.0,0.8592964824120602,0.9506060606060606,0.86,0.3117816747404897
41,81.0,8.0,99.0,11.0,99.0,11.0,81.0,8.0,0.9045226130653267,0.964546932141406,0.9124423963133641,0.2819598678677301
42,81.0,10.0,99.0,9.0,99.0,9.0,81.0,10.0,0.9045226130653267,0.970744138634047,0.912442396313364,0.25517315802225216
43,82.0,11.0,92.0,14.0,92.0,14.0,82.0,11.0,0.8743718592964824,0.9379045307443367,0.8803827751196173,0.32714138830305267
44,95.0,6.0,92.0,6.0,92.0,6.0,95.0,6.0,0.9396984924623115,0.9746413416851889,0.9387755102040817,0.24236673556605176
